category,cardName,hue,rgb,lightness,hue2
Husband,life-with-you-valentines-day-card-for-husband-root-499vee2842,5.857056580133497,"[203.40712780898878, 43.74710323033708, 26.418539325842698]",45.06385630094735,5.8744681969632815
Any+Woman,just-as-you-are-religious-birthday-card,5.902306180840433,"[185.98727272727274, 99.52909090909091, 92.41363636363636]",54.58841354723708,4.562473890276013
Father,superman-amazing-dad-fathers-day-card-with-keychain-root-599fd7622,5.912185298445222,"[242.4264521782674, 72.97734101151728, 54.75338007010516]",58.270555342818135,5.826289537449161
Girl,sweet-as-a-ballerina-birthday-card-root-599lad1860,6.002767162999108,"[226.75982532751092, 218.72183406113538, 217.92227074235808]",87.19256785683706,5.428402016009536
Sister,im-grateful-youre-in-my-life-birthday-card-for-sister-root-459fbd2176,6.031304689161211,"[230.3353031297877, 218.24162836506895, 216.90304224119063]",87.69379320999575,5.979273935996858
Sister,were-forever-entwined-birthday-card-root-599fbd2342,6.067678230290928,"[249.18605958403597, 241.5362563237774, 240.62450815064642]",96.0412877911142,6.389600157573334
Wife,my-wife-my-love-root-399vee4047,6.100045455182593,"[243.77872860635696, 72.49926650366749, 67.08459657701711]",60.95359317321061,1.8386586575782629
Mother,mama-and-baby-giraffe-mothers-day-card,6.1432016196201396,"[243.3744696550452, 205.81774580335733, 202.77107544733445]",87.47951864752542,4.502092126245408
Mother,wooden-cutout-tree-of-love-mothers-day-card,6.156375495242988,"[249.57495826377294, 237.9280467445743, 236.6727879799666]",95.34269534190972,5.837430774804628
Boy,youre-rawrsome-musical-birthday-card-with-lights-root-799tng1223,6.229238246132482,"[114.96932685634975, 31.32879944482998, 21.633587786259543]",26.784885224041037,6.232475419489533
Mother,family-tree-house-mothers-day-card-for-relative-root-699msi8242,6.234323554437539,"[227.97109037104485, 222.47256999772364, 221.83966917065027]",88.19818814543041,6.19335197881366
Wife,cake-and-hearts-birthday-card-for-wife-root-299fbd8262,6.2706163634153125,"[184.33060388945754, 214.89559877175026, 213.43398157625384]",78.27964758062896,177.13080168776366
Any+Woman,cake-possibilities-birthday-card,6.322084025442615,"[231.73838209982787, 204.59036144578315, 201.39291861322843]",84.9277060221679,6.322084025442615
Wife,a-wonderful-woman-spanishlanguage-religious-birthday-card-root-359bih1612,6.373701588588321,"[241.55464132576196, 236.818287171167, 228.08100591030248]",92.0854210266793,38.90834652170928
Grandmother,blessed-by-your-example-grandma-card-root-399mdd5717,6.383685609416525,"[91.12521160822249, 46.84467956469166, 41.54752116082225]",26.014261327263675,6.410736388968495
Mother,butterfly-and-flowers-wonderful-mothers-day-card,6.40671680230757,"[242.10305602716468, 203.89779286926995, 199.34091680814942]",86.55764173241455,6.393799951562114
Any+Woman,you-brighten-lives-spanish-birthday-card,6.4939823492508575,"[250.76804264625477, 219.1077091306725, 215.26667577911428]",91.37935655399393,6.491637405285545
Mother,flowers-and-gold-geometric-mothers-day-card,6.532044706009383,"[243.56526025236593, 204.13347791798108, 198.7683359621451]",86.73207768911982,7.1859513225650335
Mother,panda-mothers-day-card-with-pullup-baby-panda,6.677391880382426,"[234.09779123619523, 229.07944424652655, 228.45101531884575]",90.69584442255704,6.677391880382426
Mother,marjolein-bastin-bouquet-spanish-mothers-day-card,6.7142110017591135,"[228.9466878402904, 178.05399274047187, 172.03107985480943]",78.62309170492153,6.349308843927893
Any+Man,i-heart-you-a-crap-ton-funny-love-card,6.737753147053088,"[133.68146362218124, 36.84725570841015, 24.65267337966246]",31.045909216047782,6.710841586863036
Wife,my-heart-a-diagram-funny-birthday-card-root-369zzb8191,6.747978850673468,"[236.00618791727732, 122.91011235955057, 110.9018075232047]",68.0211755765651,5.7591771599940635
